URI,SmallURI,LargeURI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-9HRHXkg/0/b7b76ff0/M/hair bands hard to say-M.jpg,,,100%,image-web,3,,,TergalBands,hard to say,,,
# HairBandPos,,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-gmqc7jS/0/226151a2/L/hair bands top-L.jpg,,,100%,image-web,,,,HairBandPos,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-5RDVPgm/0/cd84aaf9/M/apical-M.jpg,,,100%,image-web,,,,HairBandPos,apical,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-sXJ35FD/0/76a99168/M/basal-M.jpg,,,100%,image-web,,,,HairBandPos,basal,,,
# Fovea,,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-dJKVFsq/0/58cd7e66/S/fovea top-S.jpg,,,100%,image-web,,,,Fovea,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-nzRbh9k/1/3cb9480c/O/fovea.jpg,,,100%,image-web,,This one character identifies <i>Andrena</i> of <i>Colletes</i>,,Fovea,appressed,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-KgDz2dB/1/12968902/M/fovea%20panurginus-M.jpg,,,100%,image-web,,,,Fovea,naked,,,
# Arolia,,,,image-web,,,,Claws,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-D4wwFPP/0/35a425fb/M/arolia top-M.jpg,,,100%,image-web,,,,Claws,absent,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-5j2vZcf/0/ff99407c/S/arolia not megachile-S.jpg,,,100%,image-web,,,,Claws,absent,,,
